title,year,genre,country,avg_vote
Segni particolari: bellissimo,1983,Comedy,Italy,6.0
Tian shi zhuang xie,1983,Thriller,Hong Kong,7.0
Signes extérieurs de richesse,1983,Comedy,France,5.4
Sing Sing,1983,Comedy,Italy,5.7
Skønheden og udyret,1983,Drama,Denmark,7.1
Slavnosti snezenek,1984,Comedy,Czechoslovakia,7.7
Sleepaway Camp,1983,Horror,USA,6.3
De stilte rond Christine M.,1982,Drama,Netherlands,6.4
Sunshine reggae a Ibiza isola arraposa,1983,Comedy,West Germany,3.4
Die Supernasen,1983,Comedy,West Germany,4.7
Testament,1983,Drama,USA,6.9
"Il tifoso, l'arbitro e il calciatore",1982,Comedy,Italy,5.8
Una poltrona per due,1983,Comedy,USA,7.5
Truhanes,1983,Comedy,Spain,6.0
Tu mi turbi,1983,Comedy,Italy,6.6
Un jeu brutal,1983,Drama,France,6.8
Uuno Turhapuron muisti palailee pätkittäin,1983,Comedy,Finland,5.6
Vassa,1983,Drama,Soviet Union,7.4
Razza violenta,1984,Action,Italy,4.3
Wilczyca,1983,Horror,Poland,5.6
The Wild Duck - L'anatra selvatica,1984,Drama,Australia,6.1
Zadah tela,1983,Drama,Yugoslavia,6.7
Zai na he pan qing cao qing,1982,Drama,Taiwan,6.6
Zeder,1983,Horror,Italy,6.2
Zelig,1983,Comedy,USA,7.7
Åpen framtid,1983,Drama,Norway,5.3
A tu per tu,1984,Comedy,Italy,5.9
Out of order - Fuori servizio,1984,Thriller,West Germany,6.8
Acqua e sapone,1983,Comedy,Italy,6.5
Akelarre,1984,Drama,Spain,6.0
La Medusa,1984,Drama,France,5.7
L'arbalète,1984,Action,France,4.5
1997: il principio dell'arca di Noè,1984,Sci-Fi,West Germany,4.9
Bachelor Party (Addio al celibato),1984,Comedy,USA,6.3
"Bertoldo, Bertoldino e Cacasenno",1984,Comedy,Italy,6.5
Bless Their Little Hearts,1983,Drama,USA,7.5
Broadway Danny Rose,1984,Comedy,USA,7.4
Calamari Union,1985,Comedy,Finland,7.1
Chattanooga Choo Choo,1984,Comedy,USA,5.1
Cheech & Chong's The Corsican Brothers,1984,Comedy,USA,4.7
Comfort and Joy,1984,Comedy,UK,6.7
Così parlò Bellavista,1984,Comedy,Italy,7.3
Country,1984,Drama,USA,6.7
Courage,1984,Thriller,USA,6.7
Crónica dos Bons Malandros,1984,Comedy,Portugal,5.8
Daheim sterben die Leut',1985,Comedy,West Germany,6.0
Darse cuenta,1984,Drama,Argentina,7.3
Didi - Der Doppelgänger,1984,Comedy,West Germany,6.7
Didi und die Rache der Enterbten,1985,Comedy,West Germany,6.6
Dim Sum: A Little Bit of Heart,1985,Comedy,USA,6.4
Dong dong de jiàqi,1984,Drama,Taiwan,7.7
I due carabinieri,1984,Comedy,Italy,6.0
Ellie,1984,Comedy,USA,4.0
Les enfants,1985,Comedy,France,6.9
Enrico IV,1984,Drama,Italy,6.2
Femme publique,1984,Drama,France,6.5
Fleshburn,1984,Thriller,USA,4.3
La garce,1984,Thriller,France,5.2
La casa e il mondo,1984,Drama,India,7.6
Gimme an 'F',1984,Comedy,USA,4.1
Agenzia omicidi,1984,Comedy,USA,5.6
Bulldozer,1984,Drama,USA,5.4
Con le buone maniere si ottiene tutto,1984,Comedy,USA,5.9
Hardbodies,1984,Comedy,USA,4.9
Harry & Son,1984,Drama,USA,5.8
Hasta cierto punto,1983,Drama,Cuba,6.9
Der Havarist,1984,Drama,West Germany,6.4
Una storia a Los Angeles,1984,Drama,USA,5.9
Violenza a Hollywood,1984,Comedy,USA,4.2
Il giardino delle illusioni,1983,Comedy,Netherlands,7.0
Jak básníci pricházejí o iluze,1985,Comedy,Czechoslovakia,7.1
The Twin,1984,Comedy,France,6.1
Kidco,1984,Comedy,USA,6.2
Difficile caso per il tenente Long,1984,Action,USA,4.3
Kun Hunttalan Matti Suomen osti,1984,Comedy,Finland,5.1
Il giorno delle oche,1984,Comedy,UK,5.9
La leggenda della fortezza di Suram,1985,Drama,Soviet Union,7.4
Lentävät luupäät,1984,Comedy,Finland,4.1
Liste noire,1984,Action,France,5.7
La tamburina,1984,Thriller,USA,6.1
Passione ambigua,1984,Drama,USA,4.6
Love Streams - Scia d'amore,1984,Drama,USA,7.8
Lovelines,1984,Comedy,USA,5.5
Lui è peggio di me,1985,Comedy,Italy,6.2
Mama Mia - Nur keine Panik,1984,Comedy,West Germany,3.3
L'avventura di Martin,1985,Drama,Canada,6.0
Mass Appeal,1984,Drama,USA,6.7
Oltre le sbarre,1984,Drama,Israel,6.9
Meatballs 2: porcelloni in vacanza,1984,Comedy,USA,3.7
Melvin: Son of Alvin,1984,Comedy,Australia,4.5
Memórias do Cárcere,1984,Drama,Brazil,7.5
Mi manda Picone,1984,Comedy,Italy,7.0
Mohan Joshi Hazir Ho!,1984,Drama,India,7.1
Monaco Forever,1984,Comedy,USA,3.7
Obitorio,1983,Horror,USA,5.2
My Brother's Wedding,1983,Drama,USA,7.2
My First Wife,1984,Drama,Australia,6.7
Les nanas,1985,Comedy,France,5.1
Pattuglia di notte,1984,Comedy,USA,4.9
Night Train to Terror,1985,Horror,USA,4.2
Nightmare - Dal profondo della notte,1984,Horror,USA,7.5
La noche más hermosa,1984,Drama,Spain,5.5
Notre histoire,1984,Drama,France,6.6
O pokojniku sve najlepse,1984,Comedy,Yugoslavia,6.9
Octavia,1982,Drama,USA,6.1
Odd Jobs,1986,Comedy,USA,4.7
Oddballs,1984,Comedy,Canada,4.4
Old Enough,1984,Drama,USA,6.5
Öszi almanach,1984,Drama,Hungary,7.3
Oltre il ponte di Brooklyn,1984,Comedy,USA,5.8
Paar,1984,Drama,India,7.5
Scandalo borghese,1985,Drama,Spain,6.5
Paradise Motel,1985,Comedy,USA,5.4
Paroma,1985,Drama,India,6.6
Pejzazi u magli,1984,Drama,Yugoslavia,7.1
Mutamenti del destino,1987,Drama,Soviet Union,6.8
El pico 2,1984,Drama,Spain,6.3
Le stagioni del cuore,1984,Drama,USA,7.4
Scuola di polizia,1984,Comedy,USA,6.7
Protocol,1984,Comedy,USA,5.5
La notte porta consiglio,1982,Comedy,France,5.2
Questo e quello,1983,Comedy,Italy,5.8
Il ragazzo di campagna,1984,Comedy,Italy,6.8
The Red Fury,1984,Drama,USA,6.4
La rivincita dei nerds,1984,Comedy,USA,6.6
Il desiderio e la corruzione,1984,Drama,France,5.8
Il fiume dell'ira,1984,Drama,USA,6.3
Saaransh,1984,Drama,India,8.2
Sam's Son,1984,Drama,USA,6.5
Los santos inocentes,1984,Drama,Spain,8.1
Secerna vodica,1983,Comedy,Yugoslavia,7.1
Sesión continua,1984,Drama,Spain,6.2
She'll Be Wearing Pink Pyjamas,1985,Comedy,UK,5.5
La smala,1984,Comedy,France,5.2
Snowballing,1984,Comedy,USA,4.0
Sonatine,1984,Drama,Canada,7.0
Sta se zgodi kad se ljubav rodi,1984,Comedy,Yugoslavia,7.2
The Stone Boy,1984,Drama,USA,6.6
Baci per un amante sconosciuto,1983,Drama,USA,5.6
Vai col surf,1983,Comedy,USA,5.0
Tasio,1984,Drama,Spain,7.2
Annie's Coming Out,1984,Drama,Australia,6.7
Tie ban shao,1984,Comedy,Hong Kong,6.1
Tie jia wu di Ma Li Ya,1988,Sci-Fi,Hong Kong,6.2
U raljama zivota,1984,Comedy,Yugoslavia,7.5
Una domenica in campagna,1984,Drama,France,7.7
"Zattere, pupe, porcelloni e gommoni",1984,Comedy,USA,5.7
Uuno Turhapuro armeijan leivissä,1984,Comedy,Finland,6.7
Video Vixens!,1974,Comedy,USA,4.4
Vita di famiglia,1985,Drama,France,6.6
Vigil,1984,Drama,New Zealand,6.9
Vive les femmes!,1984,Comedy,France,5.0
Vojnici,1984,Comedy,Yugoslavia,6.8
Weekend Pass,1984,Comedy,USA,3.9
I trampoli,1984,Drama,Spain,6.3
Zombie Island Massacre,1984,Horror,USA,2.9
Zwei Nasen tanken Super,1984,Comedy,West Germany,4.5
À mort l'arbitre!,1984,Thriller,France,6.1
À nous les garçons,1985,Comedy,France,4.4
Åke och hans värld,1984,Drama,Sweden,6.6
1918,1985,Drama,USA,6.1
Um Adeus Português,1986,Drama,Portugal,6.2
The Alchemist,1983,Horror,USA,3.9
American Drive-In,1985,Comedy,USA,4.5
Amici miei - Atto III°,1985,Comedy,Italy,6.3
L'amour en douce,1985,Comedy,France,5.8
The Angelic Conversation,1985,Drama,UK,6.2
Il giardino indiano,1985,Drama,UK,6.5
Attack of the Beast Creatures,1985,Horror,USA,4.2
Facoltà di medicina - Qui non si sana,1985,Comedy,USA,4.6
Militari su con la vita,1985,Comedy,USA,4.3
A tutta birra,1985,Comedy,USA,5.4
The Beniker Gang,1984,Drama,USA,6.3
Il Bi e il Ba,1986,Comedy,Italy,6.3
Baykot,1986,Drama,Iran,5.9
Chi più spende... più guadagna!,1985,Comedy,USA,6.5
Brussels by Night,1983,Drama,Belgium,6.6
Car Trouble,1986,Comedy,UK,5.4
Cease Fire,1985,Drama,USA,6.5
The Chain,1984,Comedy,UK,7.1
Ciuleandra,1985,Drama,Romania,7.9
Il colore viola,1985,Drama,USA,7.8
Damul,1985,Drama,India,6.9
Il corridore,1984,Drama,Iran,7.8
Si yan zai,1985,Drama,Hong Kong,3.0
Dossier confidenziale,1985,Thriller,UK,6.5
Deilig er fjorden,1985,Comedy,Norway,5.8
Dèmoni,1985,Horror,Italy,6.7
Desiderando Giulia,1986,Drama,Italy,5.2
Asilo di polizia,1986,Comedy,Italy,5.8
Prigione modello,1985,Comedy,USA,4.8
Amore e morte,1985,Drama,UK,5.2
Egészséges erotika,1986,Comedy,Hungary,7.6
Die Einsteiger,1985,Comedy,West Germany,5.3
Esperando la carroza,1985,Comedy,Argentina,8.1
La febbre del gioco,1985,Drama,USA,4.1
Flesh and Bullets,1985,Crime,USA,4.0
Follia d'amore,1985,Drama,USA,6.1
Fotografando Patrizia,1984,Drama,Italy,5.1
Dal college con furore,1985,Comedy,USA,5.3
The Gig,1985,Drama,USA,7.0
Gros dégueulasse,1986,Comedy,France,4.2
Gui xin niang,1987,Horror,Hong Kong,6.0
Harem,1985,Drama,France,4.9
Hoh bit yau ngo?,1985,Drama,Hong Kong,6.9
Hell Squad,1986,Action,USA,3.9
Himatsuri,1985,Drama,Japan,7.0
A Hora da Estrela,1985,Drama,Brazil,7.3
Horror House on Highway Five,1985,Horror,USA,3.9
Tropicana Cabana Hotel,1985,Comedy,USA,4.2
Hot Moves,1984,Comedy,USA,4.8
Vacanze calde,1985,Comedy,USA,3.9
Igor and the Lunatics,1985,Horror,USA,2.9
Im Himmel ist die Hölle los,1984,Comedy,West Germany,6.5
La signora in bianco,1985,Comedy,UK,6.6
Jagode u grlu,1985,Drama,Yugoslavia,7.2
Jako jed,1986,Comedy,Czechoslovakia,6.9
James Joyce's Women,1985,Drama,Ireland,6.0
Hei kliffaa hei,1985,Comedy,Finland,4.8
Den kroniske uskyld,1985,Drama,Denmark,5.9
Una crociera da sballo,1985,Comedy,Israel,4.6
Fuori di testa,1985,Comedy,Canada,4.3
Rabu hoteru,1985,Drama,Japan,6.6
Mala Noche,1986,Drama,USA,6.6
Mambrú se fue a la guerra,1986,Drama,Spain,6.5
La mansión de los muertos vivientes,1982,Horror,Spain,4.5
Le mariage du siècle,1985,Comedy,France,4.5
Mezzo destro mezzo sinistro - 2 calciatori senza pallone,1985,Comedy,Italy,5.4
Dinosauri a colazione,1985,Comedy,USA,4.3
Scuola guida,1985,Comedy,USA,5.8
Mr. Love,1985,Comedy,UK,6.4
Muthal Mariyathai,1985,Drama,India,7.6
A nagy generáció,1986,Drama,Hungary,6.5
Nickel Mountain,1984,Drama,USA,5.9
Nightmare 2 - La rivincita,1985,Horror,USA,5.5
No Surrender,1985,Comedy,UK,7.2
"Och, Karol",1985,Comedy,Poland,5.9
Quando rido solamente,1987,Comedy,France,3.1
Osôshiki,1984,Comedy,Japan,7.1
Papà... è in viaggio d'affari,1985,Drama,Yugoslavia,7.8
P.R.O.F.S.,1985,Comedy,France,5.6
Il peccato di Lola,1984,Drama,Italy,5.0
Peter von Scholten,1987,Drama,Denmark,5.8
Il piacere,1985,Drama,Italy,4.7
Piccoli fuochi,1985,Drama,Italy,6.0
Scuola di polizia 2: Prima missione,1985,Comedy,USA,5.8
Pranzo reale,1984,Comedy,UK,6.5
Taipei Story,1985,Drama,Taiwan,7.7
Ore 20 scandalo in diretta,1985,Drama,France,6.0
Reel Horror,1985,Horror,USA,1.5
Richard Pryor: Live and Smokin',1971,Comedy,USA,6.6
Les rois du gag,1985,Comedy,France,5.1
Una donna per tutti,1986,Drama,France,6.6
Sac de noeuds,1985,Comedy,France,5.2
Saaheb,1985,Drama,India,7.2
Scandalosa Gilda,1985,Drama,Italy,4.3
Scout toujours...,1985,Comedy,France,5.5
Shadey,1985,Comedy,UK,4.9
La signora della notte,1986,Drama,Italy,5.0
Sono un fenomeno paranormale,1985,Comedy,Italy,5.5
Indagine speciale,1985,Crime,France,5.0
"Steaming, il bagno turco",1985,Drama,UK,6.0
Scuola di medicina,1985,Comedy,USA,4.5
Stoogemania: i nuovi fratelli Marx,1985,Comedy,USA,3.9
Subway,1985,Thriller,France,6.6
Vacanze in Florida,1985,Comedy,USA,6.3
Super Fantozzi,1986,Comedy,Italy,6.5
Mer mankutyan tangon,1985,Drama,Soviet Union,7.3
Le thé au harem d'Archimède,1985,Drama,France,6.9
College in calore,1985,Comedy,USA,4.8
"Trikal (Past, Present, Future)",1985,Drama,India,7.0
In viaggio verso Bountiful,1985,Drama,USA,7.5
3 uomini e una culla,1985,Comedy,France,6.6
Telephone,1985,Comedy,France,6.0
Uphill All the Way,1986,Comedy,USA,4.2
Uramisten,1984,Drama,Hungary,7.0
Uuno Epsanjassa,1985,Comedy,Finland,6.2
Vacanze in America,1984,Comedy,Italy,5.7
Verführung: Die grausame Frau,1985,Drama,West Germany,5.4
Vesnicko má stredisková,1985,Comedy,Czechoslovakia,8.0
Walter og Carlo - op på fars hat,1985,Comedy,Denmark,5.6
Westler,1985,Drama,West Germany,6.5
When Nature Calls,1985,Comedy,USA,4.8
Wild beasts - Belve feroci,1984,Horror,Italy,5.5
Young Lady Chatterley II,1985,Drama,USA,3.8
E... la vita è bella,1985,Drama,Yugoslavia,7.6
È arrivato mio fratello,1985,Comedy,Italy,6.0
L'estate prossima,1985,Drama,France,6.0
Una finestra nella notte,1986,Drama,USA,7.6
40 mq di Germania,1986,Drama,West Germany,7.1
Abel,1986,Comedy,Netherlands,7.5
Abodh,1984,Drama,India,5.9
The Abomination,1986,Horror,USA,4.3
Alla vi barn i Bullerbyn,1986,Family,Sweden,6.7
America,1986,Comedy,USA,4.8
Amma Ariyan,1987,Drama,India,7.0
Anne Trister,1986,Drama,Canada,7.3
Una storia dei nostri giorni,1986,Drama,France,6.3
Bad Guys,1986,Comedy,USA,4.6
Barndommens gade,1986,Drama,Denmark,6.2
Il grande imbroglio,1986,Comedy,USA,5.2
Black Mic Mac,1986,Comedy,France,5.4
Vicolo cieco,1987,Thriller,Canada,4.8
Border Radio,1987,Drama,USA,5.4
La moglie del capo,1986,Comedy,USA,5.0
Ricordi di Brighton Beach,1986,Comedy,USA,6.8
"Casablanca, Casablanca",1985,Comedy,Italy,6.2
Tutta colpa delle poste!,1986,Comedy,USA,4.9
Chuzhaya belaya i ryaboy,1986,Drama,Soviet Union,7.0
Clockwise,1986,Comedy,UK,6.6
Club Paradise,1986,Comedy,USA,5.1
Consiglio di famiglia,1986,Comedy,France,5.1
Non guardatemi,1986,Drama,France,5.6
"Csók, Anyu!",1987,Drama,Hungary,6.4
Da yue bing,1986,Drama,China,6.0
The Danger Zone,1987,Action,USA,5.3
Dao ma zei,1986,Drama,China,6.9
Demoner,1986,Drama,Sweden,5.4
Dèmoni 2... l'incubo ritorna,1986,Horror,Italy,6.0
To dendro pou pligoname,1986,Drama,Greece,6.9
Din lo jing juen,1986,Drama,Hong Kong,7.3
Didi auf vollen Touren,1986,Comedy,West Germany,5.8
El disputado voto del señor Cayo,1986,Drama,Spain,6.5
Su e giù per Beverly Hills,1986,Comedy,USA,6.2
5 bambole per 2 matti,1987,Comedy,USA,5.1
Egomania - Insel ohne Hoffnung,1986,Drama,West Germany,6.3
Elämän vonkamies,1986,Drama,Finland,6.8
1942: I 15 anni di Emma,1987,Drama,Australia,5.5
Una pazza giornata di vacanza,1986,Comedy,USA,7.8
Medico per forza,1986,Comedy,UK,6.0
Free Ride,1986,Comedy,USA,5.1
The Fringe Dwellers,1986,Drama,Australia,6.8
Geld oder Leber!,1986,Comedy,West Germany,4.4
Yuppies - I giovani di successo,1986,Comedy,Italy,5.3
Girls School Screamers,1986,Horror,USA,3.7
La gitane,1986,Comedy,France,4.4
Golden Ninja Warrior,1986,Action,Hong Kong,3.2
Yari no Gonza,1986,Drama,Japan,7.0
Grandi magazzini,1986,Comedy,Italy,5.6
Hamburger: The Motion Picture,1986,Comedy,USA,5.0
Happy Hour,1986,Comedy,USA,3.9
Vacanze bollenti per quei pazzi porcelloni,1986,Comedy,USA,3.2
Palle d'acciaio,1985,Comedy,USA,5.5
Hei pao shi jian,1985,Comedy,China,7.2
Hotel St. Pauli,1988,Drama,Norway,3.5
El imperio de la fortuna,1986,Drama,Mexico,7.3
Johnny Flash,1986,Comedy,West Germany,6.8
Soltanto tra amici,1986,Drama,USA,5.9
KGB: The Secret War,1985,Drama,USA,4.0
"Khrani menya, moy talisman",1986,Drama,Soviet Union,7.0
Rapimento,1987,Thriller,USA,4.7
Killer Workout,1987,Horror,USA,4.8
Kochankowie mojej mamy,1986,Drama,Poland,7.1
Komikku zasshi nanka iranai!,1986,Comedy,Japan,6.8
Cronaca di avvenimenti amorosi,1986,Drama,Poland,6.8
The Ladies Club,1986,Drama,USA,5.6
Lamb,1985,Drama,UK,6.5
Laputa,1986,Drama,West Germany,6.4
Una pazza vacanza di Natale,1986,Comedy,USA,4.2
Lepota poroka,1986,Drama,Yugoslavia,8.0
Link,1986,Horror,UK,5.9
Una scommessa impossibile,1986,Comedy,USA,5.5
Colpo basso,1986,Action,USA,3.9
Lussuria,1986,Drama,Italy,4.7
Maine Ocean,1986,Comedy,France,6.8
La famiglia più pazza del mondo,1986,Comedy,Netherlands,5.5
Rih Essed,1986,Drama,Tunisia,6.4
La mansión de Araucaima,1986,Drama,Colombia,7.0
Men's Club,1986,Drama,USA,4.7
Mung chung yan,1986,Drama,Hong Kong,6.6
Il miracolo,1987,Comedy,France,5.9
La metà del cielo,1986,Drama,Spain,6.7
Modern Girls,1986,Comedy,USA,5.9
Les mois d'avril sont meurtriers,1987,Crime,France,6.5
La monaca del peccato,1986,Drama,Italy,4.9
"Casa, dolce casa?",1986,Comedy,USA,6.4
Via Montenapoleone,1987,Comedy,Italy,4.6
Morrhår & ärtor,1986,Comedy,Sweden,5.9
Mountaintop Motel Massacre,1983,Horror,USA,4.6
È antipatico ma lo sposo,1986,Comedy,USA,5.7
My Little Girl,1986,Drama,USA,4.6
Necropolis - La città della morte,1986,Horror,USA,3.8
Noir et blanc,1986,Drama,France,6.6
Nosferatu a Venezia,1988,Horror,Italy,5.2
Nuit d'ivresse,1986,Comedy,France,5.8
Nel giorno di San Valentino,1986,Drama,USA,5.8
One More Saturday Night,1986,Comedy,USA,5.9
One Night Only,1986,Comedy,Canada,4.8
Ormens väg på hälleberget,1986,Drama,Sweden,6.2
Osobisty pamietnik grzesznika przez niego samego spisany,1986,Drama,Poland,7.0
The Lamp (La lampada),1987,Horror,USA,5.1
Party Camp - Una Vacanza Bestiale,1987,Comedy,USA,4.1
The patriot - Progetto mortale,1986,Action,USA,2.8
Pikkupojat,1986,Comedy,Finland,6.9
Rock Hotel Majestic,1986,Comedy,USA,4.3
Plumbum - Un gioco pericoloso,1987,Drama,Soviet Union,7.0
Poltergeist II - L'altra dimensione,1986,Horror,USA,5.7
Power - Potere,1986,Drama,USA,5.7
Proryv,1986,Drama,Soviet Union,6.1
Dove l'erba si tinge di sangue,1986,Action,USA,5.7
Il ragazzo del pony express,1986,Comedy,Italy,5.4
Rakuyôju,1986,Drama,Japan,7.8
Red Headed Stranger,1986,Western,USA,6.3
Regalo di Natale,1986,Drama,Italy,7.7
I morti viventi sono tra noi,1987,Horror,France,4.1
Ryder P.I.,1986,Comedy,USA,2.1
San o ruzi,1986,Drama,Yugoslavia,6.6
Cercasi moglie disperatamente,1986,Comedy,USA,5.0
Scared Stiff,1987,Horror,USA,4.7
O Escorpião Escarlate,1990,Comedy,Brazil,6.3
Screen Test,1985,Comedy,USA,4.2
Scuola di ladri,1986,Comedy,Italy,5.7
Seize the Day,1986,Drama,USA,6.0
Sensi,1986,Thriller,Italy,5.3
7 chili in 7 giorni,1986,Comedy,Italy,6.0
Sex Appeal,1986,Comedy,USA,4.7
Sibaji,1987,Drama,South Korea,7.1
Signé Charlotte,1985,Drama,France,5.6
Sorekara,1985,Drama,Japan,7.0
Una lama nella notte,1986,Horror,USA,4.5
St. John in Exile,1986,Drama,USA,7.3
Sweet Liberty - La dolce indipendenza,1986,Comedy,USA,5.8
Tai-Pan,1986,Adventure,USA,5.6
Tampopo,1985,Comedy,Japan,7.9
Tata mía,1986,Drama,Spain,6.3
Thérèse,1986,Drama,France,7.3
Il tempo del silenzio,1986,Drama,Spain,6.6
Troppo forte,1986,Comedy,Italy,6.5
Truth or Dare?: A Critical Madness,1986,Horror,USA,5.3
Compagni miei atto I,1986,Comedy,France,5.6
Umi to dokuyaku,1986,Drama,Japan,7.3
Uuno Turhapuro muuttaa maalle,1986,Comedy,Finland,6.1
Spiagge,1986,Drama,Denmark,6.5
La vita allegra,1987,Comedy,Spain,6.3
Voglia di guardare,1986,Drama,Italy,4.1
Vzlomshchik,1987,Drama,Soviet Union,6.0
Là dove il fiume è nero,1986,Adventure,USA,6.6
Investigazione letale,1986,Thriller,UK,6.2
Una signora chiamata presidente,1986,Comedy,UK,6.1
C'era una volta Windaria,1986,Animation,Japan,7.2
Lo scambista,1986,Drama,Netherlands,7.2
Wo zhe yang guo le yi sheng,1985,Drama,Taiwan,7.2
The Women's Club,1987,Comedy,USA,4.2
Le professioniste del peccato,1986,Drama,USA,6.4
X,1986,Drama,Norway,6.6
Una ragazza di nome Xiao Xiao,1987,Drama,China,6.8
You Must Be Joking!,1986,Comedy,South Africa,5.9
The Seventh Curse,1986,Thriller,Hong Kong,6.4
Yumemiru yôni nemuritai,1986,Fantasy,Japan,6.6
Yuppies 2,1986,Comedy,Italy,4.7
Zabou,1987,Action,West Germany,6.3
Zeisters,1986,Comedy,USA,2.7
L'ultima corsa,1987,Thriller,France,6.1
Anantaram,1987,Drama,India,7.6
Anna,1987,Drama,USA,6.4
Antarjali Jatra,1989,Drama,India,7.2
Arba'a Fi Muhimma Rasmiya,1987,Comedy,Egypt,6.4
Asignatura aprobada,1987,Drama,Spain,6.2
El aullido del diablo,1988,Horror,Spain,5.3
Il pranzo di Babette,1987,Drama,Denmark,7.8
Bellifreschi,1987,Comedy,Italy,5.0
Terapia di gruppo,1987,Comedy,USA,4.8
Bicycleran,1989,Drama,Iran,7.3
The Bit Part,1988,Comedy,Australia,5.9
"Blood Frenzy, frenesia sanguinaria",1987,Horror,USA,4.6
Blood Harvest,1987,Horror,USA,4.5
Blue Monkey,1987,Horror,Canada,4.8
Il burbero,1986,Comedy,Italy,6.4
Un ragazzo adorabile,1987,Comedy,USA,4.8
La casa di Bernarda Alba,1987,Drama,Spain,6.8
Chillers,1987,Horror,USA,4.6
Il commissario Lo Gatto,1986,Comedy,Italy,6.2
Copak je to za vojáka...,1988,Comedy,Czechoslovakia,7.0
Courtship,1987,Drama,USA,5.8
Crazy Love - Compagni di sbornia,1987,Drama,Belgium,6.9
Prognosi riservata,1987,Comedy,USA,5.4
Daddy: un padre ragazzo,1987,Drama,USA,5.9
L'ambulante,1987,Drama,Iran,6.8
Deathrow Gameshow,1987,Comedy,USA,5.1
Follia!,1987,Horror,USA,6.0
Descanse en piezas,1987,Horror,Spain,4.3
Der Experte,1988,Comedy,West Germany,6.0
Come ammazzare un miliardario e morire dal ridere,1987,Comedy,USA,5.0
Divinas palabras,1987,Drama,Spain,6.3
Cani nello spazio,1986,Drama,Australia,6.6
Dolgie provody,1971,Drama,Soviet Union,7.6
"Ele, o Boto",1987,Drama,Brazil,5.9
Donna Donna!!,1987,Comedy,Netherlands,4.9
Dragon Hunt,1990,Action,Canada,2.9
Duet for One,1986,Drama,USA,6.9
Espérame en el cielo,1988,Comedy,Spain,7.1
Fakta homma,1987,Comedy,Finland,4.8
Black Comedy...,1987,Drama,Canada,6.7
Scuola di pompieri,1987,Comedy,USA,2.8
Flamberede hjerter,1986,Comedy,Denmark,6.1
Forever Evil,1987,Horror,USA,4.4
Quarto protocollo,1987,Thriller,UK,6.6
Fu gui zai po ren,1988,Comedy,Hong Kong,6.6
Gde nakhoditsya Nofelet?,1988,Comedy,Soviet Union,6.5
Amore e rabbia,1985,Drama,UK,6.1
Goofballs,1987,Comedy,Canada,4.3
Innocenza e malizia,1987,Drama,France,7.3
Django 2 - Il grande ritorno,1987,Western,Italy,5.5
Graveyard Shift,1987,Horror,Canada,4.7
Hai zi wang,1987,Drama,China,6.8
Quarantott'ore a Beverly Hills,1987,Comedy,USA,4.6
Heat and Sunlight,1987,Drama,USA,5.2
Hector,1987,Comedy,Belgium,6.9
"Hol volt, hol nem volt",1987,Fantasy,Hungary,6.9
Hollywood Shuffle,1987,Comedy,USA,7.0
Home Is Where the Hart Is,1987,Comedy,Canada,4.5
2 amori 2 omicidi,1987,Drama,USA,2.3
Il falò,1985,Drama,Switzerland,7.0
Les innocents,1987,Drama,France,6.3
Io e mia sorella,1987,Comedy,Italy,6.0
Ironweed,1987,Drama,USA,6.7
Jak básníkum chutná zivot,1988,Comedy,Czechoslovakia,7.0
Le jupon rouge,1987,Drama,France,5.3
Kamikazen: Ultima notte a Milano,1988,Comedy,Italy,6.5
Kampen om den røde ko,1987,Comedy,Denmark,4.9
Kandyland,1988,Drama,USA,4.7
Les keufs,1987,Comedy,France,4.5
Kelid,1987,Drama,Iran,6.9
Delirio,1987,Horror,USA,5.1
Kinema no tenchi,1986,Drama,Japan,6.8
Laura,1987,Thriller,USA,4.0
Kitchen Toto - Il colore della libertà,1987,Drama,UK,6.2
Concerto for the Right Hand,1987,Drama,West Germany,4.2
All'improvviso uno sconosciuto,1987,Thriller,USA,5.9
Lemon Sky,1988,Drama,USA,6.3
Les Patterson Saves the World,1987,Comedy,Australia,4.9
Amore di strega,1987,Comedy,USA,5.2
Lunga vita alla signora!,1987,Comedy,Italy,6.5
Per un mese cambio vita!,1987,Comedy,Netherlands,6.0
There Was a Little Girl,1981,Horror,Italy,5.6
La squadra della morte,1987,Action,USA,4.4
Mer om oss barn i Bullerbyn,1987,Family,Sweden,6.7
Mi general,1987,Comedy,Spain,6.4
Montecarlo Gran Casinò,1987,Comedy,Italy,5.2
Un mese in campagna,1987,Drama,UK,6.9
Morgan Stewart's Coming Home,1987,Comedy,USA,5.7
Moros y cristianos,1987,Comedy,Spain,5.9
Le moustachu,1987,Comedy,France,5.8
Moziklip,1987,Musical,Hungary,6.6
Mälarpirater,1987,Adventure,Sweden,4.9
Nejistá sezóna,1988,Comedy,Czechoslovakia,7.9
Nekromantik,1987,Horror,West Germany,5.1
The Newlydeads,1988,Horror,USA,4.0
Nionde kompaniet,1987,Comedy,Sweden,5.9
Fuga senza scampo,1987,Action,USA,4.2
Noi uomini duri,1987,Comedy,Italy,5.9
"Notte d'estate con profilo greco, occhi a mandorla e odore di basilico",1986,Comedy,Italy,5.9
L'oeil au beurre noir,1987,Comedy,France,5.8
En film om kärlek,1987,Romance,Sweden,4.7
On the Black Hill,1988,Drama,UK,6.4
